"","commit","repo_owner","repo_name","additions","deletions"
"370",2016-03-16 20:28:34,"marcinszyszka","mobilesecondhand",73,47
"371",2016-02-09 20:17:06,"kars7e","toxic-rats",0,0
"372",2016-02-09 20:17:35,"kars7e","toxic-rats",0,0
"373",2016-02-10 09:31:29,"jedrzejd","dyzur",0,0
"374",2016-03-06 23:36:15,"mateuscod88","mateorobiapke",660,0
"375",2016-03-06 23:40:59,"mateuscod88","mateorobiapke",6,4
"376",2016-01-14 12:58:44,"uoopl","uoo-light",0,0
"377",2016-01-14 13:00:12,"uoopl","uoo-light",0,0
"378",2016-01-14 13:01:00,"uoopl","uoo-light",0,0
"379",2016-02-11 15:52:29,"ggg205","sztuczna-sie-neuronowa",0,0
"380",2016-02-10 19:47:39,"reaw","inventorylight",0,0
"381",2016-02-10 19:57:27,"reaw","inventorylight",0,0
"382",2016-02-11 18:55:33,"reaw","inventorylight",0,0
"383",2016-02-21 11:07:24,"reaw","inventorylight",0,0
"384",2016-02-21 11:08:00,"reaw","inventorylight",0,0
"385",2016-03-04 17:55:57,"reaw","inventorylight",154,0
"386",2016-03-04 19:12:10,"reaw","inventorylight",1,1
"387",2016-03-10 18:41:14,"reaw","inventorylight",138,5
"388",2016-03-10 18:42:40,"reaw","inventorylight",0,0
"389",2016-03-12 19:46:46,"reaw","inventorylight",414,6
"390",2016-03-15 18:16:49,"reaw","inventorylight",263,17
"391",2016-03-15 19:19:52,"reaw","inventorylight",5,32
"392",2016-03-18 15:58:55,"reaw","inventorylight",204,82
"393",2016-02-05 14:56:58,"qbasko","timeplanner",0,0
"394",2016-02-11 23:47:37,"qbasko","timeplanner",0,0
"395",2016-03-03 21:56:03,"qbasko","timeplanner",11142,15498
"396",2016-03-07 22:58:11,"qbasko","timeplanner",661,13
"397",2016-03-07 23:00:05,"qbasko","timeplanner",173,0
"398",2016-03-16 13:52:24,"qbasko","timeplanner",1072,87
"399",2016-02-13 15:15:57,"krzyzaw","trenerpersonalny",0,0
"400",2016-03-17 17:09:43,"krzyzaw","trenerpersonalny",24178,25
"401",2016-02-13 19:57:24,"bartekr","ssis-winscptask",0,0
"402",2016-02-13 22:46:29,"mdymel","miseco",0,0
"403",2016-03-13 22:00:20,"mdymel","miseco",862,0
"404",2016-03-13 20:28:47,"pikoscielniak","notifier",258,0
"405",2016-03-13 20:33:27,"pikoscielniak","notifier",12,0
"406",2016-03-13 22:49:57,"pikoscielniak","notifier",162,0
"407",2016-03-15 20:29:41,"pikoscielniak","notifier",2,0
"408",2016-03-16 08:20:06,"pikoscielniak","notifier",2,2
"409",2016-03-16 21:04:37,"pikoscielniak","notifier",194,33
"410",2016-02-14 14:31:41,"lshadown","liveshare",0,0
"411",2016-02-14 15:09:27,"lshadown","liveshare",0,0
"412",2016-02-14 18:03:07,"lshadown","liveshare",0,0
"413",2016-02-14 18:11:16,"lshadown","liveshare",0,0
"414",2016-02-14 18:18:39,"lshadown","liveshare",0,0
"415",2016-02-14 18:20:44,"lshadown","liveshare",0,0
"416",2016-02-14 18:22:23,"lshadown","liveshare",0,0
"417",2016-02-14 18:23:41,"lshadown","liveshare",0,0
"418",2016-02-14 18:52:11,"lshadown","liveshare",0,0
"419",2016-02-14 18:52:58,"lshadown","liveshare",0,0
"420",2016-02-28 22:37:15,"lukaszantkowiak","simple-document-manager",0,0
